cell_id,key,locale,en_reference,current_string,question,verdict_OK_or_FIX,suggested_replacement,notes
12.1.2,screen.benefit.op.max,uk,maximum,максимум,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.min,fr,minimum,minimum,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.min,de,minimum,Minimum,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.min,es-MX,minimum,mínimo,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.min,pt-BR,minimum,mínimo,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.min,uk,minimum,мінімум,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.multiply,fr,multiply,multiplier,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.multiply,de,multiply,Multiplizieren,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.multiply,es-MX,multiply,multiplicar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.multiply,pt-BR,multiply,multiplicar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.multiply,uk,multiply,помножити,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.ref,fr,lookup,valeur officielle,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.ref,de,lookup,Nachschlagen,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.ref,es-MX,lookup,consulta,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.ref,pt-BR,lookup,consulta,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.ref,uk,lookup,пошук,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.subtract,fr,subtract,soustraire,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.subtract,de,subtract,Subtrahieren,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.subtract,es-MX,subtract,restar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.subtract,pt-BR,subtract,subtrair,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.subtract,uk,subtract,відняти,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.3,events.summary.add_evidence,fr,+ {evidence_type},+ {evidence_type},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.add_evidence,de,+ {evidence_type},+ {evidence_type},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.add_evidence,es-MX,+ {evidence_type},+ {evidence_type},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.add_evidence,pt-BR,+ {evidence_type},+ {evidence_type},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.add_evidence,uk,+ {evidence_type},+ {evidence_type},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.move_country,fr,{from} → {to},{from} → {to},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.move_country,de,{from} → {to},{from} → {to},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.move_country,es-MX,{from} → {to},{from} → {to},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.move_country,pt-BR,{from} → {to},{from} → {to},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.3,events.summary.move_country,uk,{from} → {to},{from} → {to},"Pure-placeholder by design (identical across locales). If runtime values for {evidence_type} or {from}/{to} are EN-only, the visible string is EN regardless of locale. Confirm framing OR flag the upstream concern.",OK,,"Confirmed: pure-placeholder by design; runtime EN-only payloads are an upstream backend i18n concern, not a translation gap."
12.1.4,cases.detail.heading,fr,Case {id},Dossier {id},Currently 'Dossier {id}' to align with nav.cases = 'Dossiers'. Product-team preference may be 'Cas {id}' (literal cognate). Decide.,OK,,"Keep 'Dossier {id}' — administrative register (Service Canada / federal admin idiom); preserves consistency with nav.cases='Dossiers'."
12.1.5,admin.federation.col.actions,fr,Actions,Actions,Column header re-emitted as loanword/cognate because the EN source is a loan/cognate in this locale. Confirm the existing locale JSON did not intend a deeper localisation.,OK,,"Native-correct as cognate; standard French word, identical spelling."
12.1.5,admin.federation.col.name,de,Name,Name,Column header re-emitted as loanword/cognate because the EN source is a loan/cognate in this locale. Confirm the existing locale JSON did not intend a deeper localisation.,OK,,"Native-correct as loanword; standard German term for table column."
12.1.5,admin.federation.col.status,de,Status,Status,Column header re-emitted as loanword/cognate because the EN source is a loan/cognate in this locale. Confirm the existing locale JSON did not intend a deeper localisation.,OK,,"Native-correct as loanword; standard German term for table column."
12.1.5,admin.federation.col.status,pt-BR,Status,Status,Column header re-emitted as loanword/cognate because the EN source is a loan/cognate in this locale. Confirm the existing locale JSON did not intend a deeper localisation.,OK,,"Native-correct as loanword; common pt-BR tech-UI usage (distinct from European pt 'Estado')."
12.1.5,admin.federation.col.version,fr,Version,Version,Column header re-emitted as loanword/cognate because the EN source is a loan/cognate in this locale. Confirm the existing locale JSON did not intend a deeper localisation.,OK,,"Native-correct as cognate; standard French term."
12.1.5,admin.federation.col.version,de,Version,Version,Column header re-emitted as loanword/cognate because the EN source is a loan/cognate in this locale. Confirm the existing locale JSON did not intend a deeper localisation.,OK,,"Native-correct as loanword; standard German term."
